cartodb_id,munichways_id,mapillary_img_id,mapillary_link
3281,LHM-West.BA22.3281,null,https://www.mapillary.com/map/im/null
3261,LHM-Nord.BA11.3261,null,https://www.mapillary.com/map/im/null
3257,LHM-West.BA09.3257,Ras5YfXvQ0UOHuqYSlgAIA,https://www.mapillary.com/map/im/Ras5YfXvQ0UOHuqYSlgAIA
3256,LHM-Nord.BA10.3256,09oGdo1nNy5xpmrjyxHvXy,https://www.mapillary.com/map/im/09oGdo1nNy5xpmrjyxHvXy
3248,LHM-West.BA09.3248,HCjGePwOtml23ey-K1zCgA,https://www.mapillary.com/map/im/HCjGePwOtml23ey-K1zCgA
3247,LHM-West.BA09.3247,CWxsGK29KM77P2ZD2Jb9rA,https://www.mapillary.com/map/im/CWxsGK29KM77P2ZD2Jb9rA
3242,LHM-West.BA22.3242,WwMOveXi2CM_iQ10Q1jIZQ,https://www.mapillary.com/map/im/WwMOveXi2CM_iQ10Q1jIZQ
3241,LHM-West.BA22.3241,ucnX2MI4FG-IH744Jd3ETw,https://www.mapillary.com/map/im/ucnX2MI4FG-IH744Jd3ETw
3236,RV00B.01.170,giFmRImhxV1KzX9W-4Rktg,https://www.mapillary.com/map/im/giFmRImhxV1KzX9W-4Rktg
3210,LHM-Ost.BA14.3210,null,https://www.mapillary.com/map/im/null
3207,LHM-Ost.BA14.3207,jAWUPSclvDCOpo27CiCfbw,https://www.mapillary.com/map/im/jAWUPSclvDCOpo27CiCfbw
3206,LHM-Ost.BA14.3206,null,https://www.mapillary.com/map/im/null
3205,LHM-Ost.BA14.3205,null,https://www.mapillary.com/map/im/null
3187,LHM-Ost.BA14.3187,null,https://www.mapillary.com/map/im/null
3152,LHM-Ost.BA18.3152,aW_lgn8j6BCtBniF5AbbGA,https://www.mapillary.com/map/im/aW_lgn8j6BCtBniF5AbbGA
3133,LHM-Nord.BA12.3133,zehRrY16Am2FziLf9jRCDw,https://www.mapillary.com/map/im/zehRrY16Am2FziLf9jRCDw
3132,LHM-Nord.BA12.3132,xYuM0j_5RBz6rWwgWF2j_g,https://www.mapillary.com/map/im/xYuM0j_5RBz6rWwgWF2j_g
3033,LHM-Nord.BA24.3033,null,https://www.mapillary.com/map/im/null
3032,LHM-West.BA22.3032,h7NcSYj7lGgxkj4L82vESp,https://www.mapillary.com/map/im/h7NcSYj7lGgxkj4L82vESp
3030,LK-M.Gräfelfing.3030,scaXtS5tkwKcWoLCsPtpO8,https://www.mapillary.com/map/im/scaXtS5tkwKcWoLCsPtpO8
3028,LHM-West.BA22.3028,6IPPtM8pyJ7XvNJFkbYisw,https://www.mapillary.com/map/im/6IPPtM8pyJ7XvNJFkbYisw
3026,LHM-West.BA22.3026,JgYceNOwDRL9hT8vv1NsOf,https://www.mapillary.com/map/im/JgYceNOwDRL9hT8vv1NsOf
2975,LHM-West.BA22.2975,JHwKPyOWcYy1Cam91nXSUg,https://www.mapillary.com/map/im/JHwKPyOWcYy1Cam91nXSUg
2970,LHM_Milbertshofen-Am Hart_-,dnBwLqiaiLzgoktYh31Qan,https://www.mapillary.com/map/im/dnBwLqiaiLzgoktYh31Qan
2964,LHM-West.BA09.2964,awt-xVMcQzSrcIzY6J_4Lg,https://www.mapillary.com/map/im/awt-xVMcQzSrcIzY6J_4Lg
2963,LHM-West.BA22.2963,UknFjhCdNLD4ieJd7XIyzP,https://www.mapillary.com/map/im/UknFjhCdNLD4ieJd7XIyzP
2962,LK-FFB.Olching.2962,null,https://www.mapillary.com/map/im/null
2961,LK-FFB.Olching.2961,null,https://www.mapillary.com/map/im/null
2960,LK-FFB.Olching.2960,null,https://www.mapillary.com/map/im/null
2959,LK-FFB.Olching.2959,WgARgPN0oVGVdSwIu83kwg,https://www.mapillary.com/map/im/WgARgPN0oVGVdSwIu83kwg
2958,LK-FFB.Olching.2958,null,https://www.mapillary.com/map/im/null
2957,LK-FFB.Olching.2957,0hVxSE0IVOn7jSgCC2RtiQ,https://www.mapillary.com/map/im/0hVxSE0IVOn7jSgCC2RtiQ
2956,LK-FFB.Olching.2956,null,https://www.mapillary.com/map/im/null
2955,LK-FFB.Olching.2955,5LiZlU3d__I49mGAolRQoA,https://www.mapillary.com/map/im/5LiZlU3d__I49mGAolRQoA
2954,LK-FFB.Olching.2954,ih1wggGXiV8jXVlnkbQbBw,https://www.mapillary.com/map/im/ih1wggGXiV8jXVlnkbQbBw
2953,LHM-West.BA21.2953,-RGpZOu6ZTbBlVwj6XvSAQ,https://www.mapillary.com/map/im/-RGpZOu6ZTbBlVwj6XvSAQ
2952,LK-M.Gräfelfing.2952,OOjxGOy0VxHtbDtYYiLNIw,https://www.mapillary.com/map/im/OOjxGOy0VxHtbDtYYiLNIw
2951,LHM-West.BA21.2951,null,https://www.mapillary.com/map/im/null
2950,LHM-West.BA22.2950,null,https://www.mapillary.com/map/im/null
2949,LK-FFB.Germering.2949,2VHFxa3RDiujy9VGGACeFn,https://www.mapillary.com/map/im/2VHFxa3RDiujy9VGGACeFn
2943,RV03S.00.100-00.200_geg,7-byI1iyy8Hfrjqnu9cF_w,https://www.mapillary.com/map/im/7-byI1iyy8Hfrjqnu9cF_w
2935,LHM-West.BA22.2935,_wHlqqAMuy2LQIogbop8oQ,https://www.mapillary.com/map/im/_wHlqqAMuy2LQIogbop8oQ
2927,LHM-West.BA22.2927,HsXiqf5y1627tlW3a3wnmC,https://www.mapillary.com/map/im/HsXiqf5y1627tlW3a3wnmC
2924,LHM-West.BA22.2924,N7cSHdMr2CeNpulYHPgIRw,https://www.mapillary.com/map/im/N7cSHdMr2CeNpulYHPgIRw
2922,LHM-West.BA22.2922,null,https://www.mapillary.com/map/im/null
2921,LHM-West.BA22.2921,j6dOJ8hBsm2OEHfonKqPFF,https://www.mapillary.com/map/im/j6dOJ8hBsm2OEHfonKqPFF
2920,LHM-West.BA22.2920,null,https://www.mapillary.com/map/im/null
2919,LHM-West.BA22.2919,sR0lLH6ZUCusTIYoeeh1eT,https://www.mapillary.com/map/im/sR0lLH6ZUCusTIYoeeh1eT
2918,LHM-West.BA22.2918,keerCagR8rnRRLQacpn-wA,https://www.mapillary.com/map/im/keerCagR8rnRRLQacpn-wA
2910,LHM-West.BA09.2910,HLuGM6u7GF7BE2t2ZuKsAB,https://www.mapillary.com/map/im/HLuGM6u7GF7BE2t2ZuKsAB
2907,LHM-West.BA22.2907,spZFcuu7nhfo6U8idK6ytQ,https://www.mapillary.com/map/im/spZFcuu7nhfo6U8idK6ytQ
2906,LHM-West.BA22.2906,B0eJOIyLNb6rfTh43kDNOL,https://www.mapillary.com/map/im/B0eJOIyLNb6rfTh43kDNOL
2901,LHM-West.BA22.2901,i7uN38xcA0plOFKXjtsT2o,https://www.mapillary.com/map/im/i7uN38xcA0plOFKXjtsT2o
2900,LHM-West.BA22.2900,T1ELuirf2SD2CkW35SDoTG,https://www.mapillary.com/map/im/T1ELuirf2SD2CkW35SDoTG
2897,LHM-West.BA22.2897,Kn8Bf_9AEd4ExkYTLtu1Mw,https://www.mapillary.com/map/im/Kn8Bf_9AEd4ExkYTLtu1Mw
2891,LHM-West.BA22.2891,nYhLK9D7YPFHfXZEN_kJFQ,https://www.mapillary.com/map/im/nYhLK9D7YPFHfXZEN_kJFQ
2889,LHM-West.BA22.2889,ycD8A2ktL9vyPxBgUvrUMQ,https://www.mapillary.com/map/im/ycD8A2ktL9vyPxBgUvrUMQ
2888,LHM-West.BA22.2888,tnkS5VL4tyAGVqT3bL2A6w,https://www.mapillary.com/map/im/tnkS5VL4tyAGVqT3bL2A6w
2887,LHM-West.BA22.2887,null,https://www.mapillary.com/map/im/null
2883,LK-DAH.Karlsfeld.2883,tILDawHFgxPH5jNUpwC83Q,https://www.mapillary.com/map/im/tILDawHFgxPH5jNUpwC83Q
2882,LK-DAH.Karlsfeld.2882,ggIB4as6Qs-uvsvpRKSb9w,https://www.mapillary.com/map/im/ggIB4as6Qs-uvsvpRKSb9w
2881,LK-DAH.Karlsfeld.2881,ejdT22bKpLTZaJDb6H3Org,https://www.mapillary.com/map/im/ejdT22bKpLTZaJDb6H3Org
2880,LK-DAH.Karlsfeld.2880,XOd5ymgwrVbXv6lI0vGL9A,https://www.mapillary.com/map/im/XOd5ymgwrVbXv6lI0vGL9A
2879,LK-DAH.Karlsfeld.2879,SC6XMI9X09Av0KzYoWCKSg,https://www.mapillary.com/map/im/SC6XMI9X09Av0KzYoWCKSg
2878,LK-DAH.Karlsfeld.2878,BLvUGIo3yrfteHtGEbUGYw,https://www.mapillary.com/map/im/BLvUGIo3yrfteHtGEbUGYw
2877,LK-DAH.Karlsfeld.2877,KB578Yh9O2FUOjVBhccBeg,https://www.mapillary.com/map/im/KB578Yh9O2FUOjVBhccBeg
2874,LHM-West.BA23.2874,N9SXvGtA71bRlTMAqjFR4g,https://www.mapillary.com/map/im/N9SXvGtA71bRlTMAqjFR4g
2873,LHM-West.BA23.2873,jvEzcanN6e6KHaZ_HXH5Rg,https://www.mapillary.com/map/im/jvEzcanN6e6KHaZ_HXH5Rg
2872,LHM-West.BA23.2872,DtCKdSquCDwCJMHCi5AJNA,https://www.mapillary.com/map/im/DtCKdSquCDwCJMHCi5AJNA
2871,LHM-West.BA23.2871,null,https://www.mapillary.com/map/im/null
2870,LHM-Nord.BA10.2870,MkvLz5pdJpXtKO6qtfhpiA,https://www.mapillary.com/map/im/MkvLz5pdJpXtKO6qtfhpiA
2848,LHM-West.BA22.2848,null,https://www.mapillary.com/map/im/null
2845,LHM-West.BA22.2845,null,https://www.mapillary.com/map/im/null
2824,LHM-Ost.BA13.2824,null,https://www.mapillary.com/map/im/null
2819,LHM-Mitte.BA03.2819,EAYHbfLFTyf0BeCk5o7UT7,https://www.mapillary.com/map/im/EAYHbfLFTyf0BeCk5o7UT7
2626,RV03S.03.000-03.200,qA03yg3SmxIyFHEyojdCdA,https://www.mapillary.com/map/im/qA03yg3SmxIyFHEyojdCdA
2625,RV03S.02.900-03.000,_47iu-x-MRUrB80FgPoKmg,https://www.mapillary.com/map/im/_47iu-x-MRUrB80FgPoKmg
2623,LHM-Süd.BA06.2623,null,https://www.mapillary.com/map/im/null
2594,LK-M.Perlacher Forst.2594,null,https://www.mapillary.com/map/im/null
